id,docket_number,company_name,date_issued,year,administration,categories,violation_type,complaint_counts,legal_authority,commissioners,ftc_url,source_filename,num_provisions,num_requirements,order_duration_years,takeaway_brief,statutory_topics,practice_areas,industry_sectors,remedy_types,provision_counts_by_topic
08.11_fajilan_and_associates_also_dba_statewide_credit_services,C-4332,"Fajilan and Associates, Inc.",2011-08-15,2011,Obama,Data Security; Fair Credit Reporting (FCRA); Gramm-Leach-Bliley,both,Violations of the Safeguards Rule (GLB Act); Furnishing Consumer Reports Without Permissible Purpose (FCRA § 604); Failure to Maintain Reasonable Procedures to Limit Furnishing (FCRA § 607(a)); Furnishing Reports With Reasonable Grounds to Believe No Permissible Purpose (FCRA § 607(a)); Unfair and Deceptive Acts via FCRA Violations (FTC Act § 5(a)); Unfair Security Practices (FTC Act § 5(a)),"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45(a); the Fair Credit Reporting Act, 15 U.S.C. § 1681 et seq.; and the Standards for Safeguarding Customer Information Rule, 16 C.F.R. Part 314, issued pursuant to Title V, Subtitle A of the Gramm-Leach-Bliley Act, 15 U.S.C. §§ 6801-6809","Jon Leibowitz, Chairman; William E. Kovacic; J. Thomas Rosch; Edith Ramirez; Julie Brill",https://www.ftc.gov/legal-library/browse/cases-proceedings/092-3089-fajilan-associates-inc-also-dba-statewide-credit-services-matter,"08.11, Fajilan and Associates, also dba Statewide Credit Services.json",10,30,20.0,"Statewide Credit Services sold sensitive credit reports to clients without verifying their security posture, enabling repeated hacker breaches of client networks.",FCRA; GLBA,Data Security; Financial Practices,Financial Services,Comprehensive Security Program; Prohibition; Third-Party Assessment; Recordkeeping; Order Administration; Compliance Monitoring,"{""FCRA"": 9, ""GLBA"": 9}"
08.11_settlementone_credit_corporation,C-4330,SettlementOne Credit Corporation,2011-08-15,2011,Obama,Data Security; Fair Credit Reporting (FCRA); Gramm-Leach-Bliley,both,Violation of the Safeguards Rule (GLB Act); Violation of FCRA Section 604 — Furnishing Reports Without Permissible Purpose; Violation of FCRA Section 607(a) — Failure to Maintain Reasonable Procedures; Violation of FCRA Section 607(a) — Furnishing Reports with Reasonable Grounds to Believe No Permissible Purpose; Unfair and Deceptive Acts or Practices — FCRA Violations as FTC Act Violations; Unfair Acts or Practices — Failure to Employ Reasonable Security Measures (FTC Act Section 5),"Section 5 of the Federal Trade Commission Act, 15 U.S.C. § 45(a); the Fair Credit Reporting Act, 15 U.S.C. § 1681 et seq.; and the Standards for Safeguarding Customer Information Rule, 16 C.F.R. Part 314, issued pursuant to Title V, Subtitle A of the Gramm-Leach-Bliley Act, 15 U.S.C. §§ 6801-6809","Jon Leibowitz, Chairman; William E. Kovacic; J. Thomas Rosch; Edith Ramirez; Julie Brill",https://www.ftc.gov/legal-library/browse/cases-proceedings/082-3208-settlementone-credit-corporation,"08.11, SettlementOne Credit Corporation.json",9,27,20.0,"SettlementOne Credit allowed client mortgage brokers without verified security to access sensitive consumer credit reports, enabling hackers to breach multiple client networks.",FCRA; GLBA,Data Security; Financial Practices,Financial Services,Comprehensive Security Program; Prohibition; Third-Party Assessment; Recordkeeping; Order Administration; Compliance Monitoring,"{""FCRA"": 8, ""GLBA"": 8}"
09.11_w3_innovations_dba_broken_thumb_apps_and_justin_maples_u.s.,C-11-03958,"W3 Innovations, LLC",2011-09-15,2011,Obama,COPPA / Children's Privacy; Privacy / Deceptive Privacy Practices,both,Violations of the Children's Online Privacy Protection Rule,"Sections 1303(c) and 1306(d) of the Children's Online Privacy Protection Act of 1998 (COPPA), 15 U.S.C. §§ 6501-6506, 6502(c) and 6505(d), and Sections 5(a)(1), 5(m)(1)(A), 13(b), and 16(a) of the Federal Trade Commission Act",,https://www.ftc.gov/legal-library/browse/cases-proceedings/102-3251-w3-innovations-llc-dba-broken-thumb-apps-justin-maples-us,"09.11, W3 Innovations dba Broken Thumb Apps and Justin Maples, U.S..json",10,29,,"Broken Thumbs Apps collected over 30,000 email addresses from children through child-directed mobile apps without any privacy notice or parental consent.",COPPA,Privacy,Technology,Prohibition; Data Deletion; Monetary Penalty; Compliance Monitoring; Recordkeeping; Order Administration,"{""COPPA"": 10}"
10.11_frostwire_llc_and_angel_leon,11-23643-CV-GRAHAM,Frostwire LLC,2011-10-15,2011,Obama,Other,deceptive,False Representation About the Sharing of Downloads in FrostWire Desktop; Failure to Disclose Material Information About the Sharing of Downloads in FrostWire Desktop; Unfair Design of FrostWire for Android,"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45(a)",,https://www.ftc.gov/legal-library/browse/cases-proceedings/112-3041-frostwire-llc-angel-leon,"10.11, Frostwire LLC and Angel Leon.json",10,40,,FrostWire's file-sharing apps deceived users about which files were being publicly shared on peer-to-peer networks.,Section 5 Only,Privacy; Deceptive Design / Dark Patterns,Technology,Prohibition; Compliance Monitoring; Recordkeeping; Order Administration,"{""Section 5 Only"": 10}"
10.11_google,C-4336,Google Inc.,2011-10-15,2011,Obama,Privacy / Deceptive Privacy Practices,deceptive,False Representation: Gmail Data Used Only for Email Service; False Representation: Consent Before Repurposing User Data; False Representation: Opting Out of Buzz; Deceptive Omission: Lack of Adequate Disclosure of Default Public Sharing; False Representation: Adherence to U.S.-EU Safe Harbor Framework,Federal Trade Commission Act,"Jon Leibowitz, Chairman; J. Thomas Rosch; Edith Ramirez; Julie Brill",https://www.ftc.gov/legal-library/browse/cases-proceedings/google-inc,"10.11, Google.json",9,25,20.0,"Google auto-enrolled Gmail users into its Buzz social network using their contacts, breaking promises that Gmail data would only be used for email.",Section 5 Only,Privacy,Technology,Prohibition; Comprehensive Security Program; Third-Party Assessment; Recordkeeping; Order Administration; Compliance Monitoring,"{""Section 5 Only"": 9}"
11.11_godwin_jones_o._dba_skidekids.com,Civil Action No. 1:11-cv-03846-JOF,Jones O. Godwin,2011-11-15,2011,Obama,COPPA / Children's Privacy; Privacy / Deceptive Privacy Practices,both,Violations of the Children's Online Privacy Protection Rule (COPPA Rule); Violations of the FTC Act — Deceptive Misrepresentation,"Sections 1303(c) and 1306(d) of the Children's Online Privacy Protection Act of 1998 (COPPA), 15 U.S.C. §§ 6501-6506, 6502(c) and 6505(d), and Sections 5(a)(1), 5(m)(1)(A), 13(b), and 16(a) of the Federal Trade Commission Act (FTC Act), 15 U.S.C. §§ 41-58, 45(a)(1), 45(m)(1)(A), 53(b), and 56(a)",,https://www.ftc.gov/legal-library/browse/cases-proceedings/1123033-godwin-jones-o-dba-skidekidscom,"11.11, Godwin, Jones O., dba skidekids.com.json",15,37,,"Skid-e-kids' operator claimed to collect parental email addresses and notify parents before activating children's accounts, but never actually did so.",COPPA,Privacy,Social Media,Prohibition; Data Deletion; Consumer Redress; Monetary Penalty; Order Administration; Third-Party Assessment; Recordkeeping; Compliance Monitoring,"{""COPPA"": 15}"
12.11_scanscout,C-4344,"ScanScout, Inc.",2011-12-15,2011,Obama,Privacy / Deceptive Privacy Practices,deceptive,False Opt-Out Representation Regarding Cookie Data Collection,"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45(a)","Jon Leibowitz, Chairman; J. Thomas Rosch; Edith Ramirez; Julie Brill",https://www.ftc.gov/legal-library/browse/cases-proceedings/102-3185-scanscout-inc-matter,"12.11, ScanScout.json",7,17,20.0,"ScanScout falsely told consumers they could opt out of tracking cookies by changing browser settings, when its Flash cookies were immune to browser-level controls.",Section 5 Only,Privacy,Technology,Prohibition; Recordkeeping; Order Administration; Compliance Monitoring,"{""Section 5 Only"": 7}"
01.12_asset_acceptance,8:12-cv-00182-JDW-EAJ,"Asset Acceptance, LLC",2012-01-15,2012,Obama,Fair Credit Reporting (FCRA),both,"Lack of Reasonable Basis – False Representations of Debt Validity; Failure to Disclose Statute of Limitations Status; Furnishing Inaccurate Information to Consumer Reporting Agencies – FCRA § 623(a)(1)(A); Failure to Provide Required Negative Information Notice – FCRA § 623(a)(7); Failure to Conduct Reasonable Investigation of ACDV Disputes – FCRA § 623(b)(1); Repeated Communications with Third Parties for Location Information – FDCPA § 804(3); Unauthorized Third-Party Communications About Debts – FDCPA § 805(b); False, Deceptive, or Misleading Representations in Debt Collection – FDCPA § 807; Failure to Obtain Debt Verification Before Resuming Collection – FDCPA § 809(b)","Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45(a); Section 5(m)(1)(A) of the FTC Act, 15 U.S.C. § 45(m)(1)(A); the Fair Credit Reporting Act (FCRA), 15 U.S.C. §§ 1681-1681x; and the Fair Debt Collection Practices Act (FDCPA), 15 U.S.C. §§ 1692-1692p",,https://www.ftc.gov/legal-library/browse/cases-proceedings/052-3133-asset-acceptance-llc,"01.12, Asset Acceptance.json",2,2,,"Asset Acceptance pursued consumers for debts without adequate verification, failed to disclose statute-of-limitations issues, and furnished inaccurate information to credit bureaus.",FCRA,Financial Practices,Financial Services,Order Administration,"{""FCRA"": 2}"
03.12_rockyou,CV '12 1487,"RockYou, Inc.",2012-03-15,2012,Obama,COPPA / Children's Privacy; Data Security; Privacy / Deceptive Privacy Practices,both,Data Security Misrepresentation; COPPA Rule Violations; Misrepresentation About Children's Information Collection,"Sections 5(a)(1), 5(m)(1)(A), 13(b), and 16(a) of the Federal Trade Commission Act, 15 U.S.C. §§ 45(a)(1), 45(m)(1)(A), 53(b), and 56(a); Sections 1303(c) and 1306(d) of the Children's Online Privacy Protection Act of 1998 (COPPA), 15 U.S.C. §§ 6501-6506, 6502(c) and 6505(d)",,https://www.ftc.gov/legal-library/browse/cases-proceedings/1023120-rockyou-inc,"03.12, RockYou.json",12,36,20.0,"RockYou failed to secure 32 million email addresses and passwords, and knowingly collected personal data from approximately 179,000 children without parental consent in violation of COPPA.",COPPA,Privacy; Data Security,Technology; Social Media,Prohibition; Data Deletion; Consumer Redress; Monetary Penalty; Comprehensive Security Program; Third-Party Assessment; Order Administration; Compliance Monitoring; Recordkeeping,"{""COPPA"": 12}"
06.12_spokeo,C-12-cv-05001-MMM-SH (Case No. 2:12-cv-05001-MMM-SH),"Spokeo, Inc.",2012-06-15,2012,Obama,Fair Credit Reporting (FCRA),both,Failure to Maintain Reasonable Procedures for Permissible Purposes; Failure to Follow Reasonable Procedures to Assure Maximum Possible Accuracy; Failure to Provide User Notices; Furnishing Consumer Reports Without Permissible Purpose; Fake Endorsements,"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45(a); Section 621(a) of the Fair Credit Reporting Act, 15 U.S.C. § 1681s(a)",,https://www.ftc.gov/legal-library/browse/cases-proceedings/1023163-spokeo-inc,"06.12, Spokeo.json",8,28,20.0,Spokeo marketed detailed consumer profiles for employment decisions while operating as an unregistered consumer reporting agency without any FCRA compliance procedures.,FCRA,Financial Practices,Technology,Monetary Penalty; Prohibition; Order Administration; Compliance Monitoring; Recordkeeping,"{""FCRA"": 8}"
08.12_hireright_solutions,12-1313,"HireRight Solutions, Inc.",2012-08-15,2012,Obama,Fair Credit Reporting (FCRA),both,Failure to Ensure Maximum Possible Accuracy; Failure to Disclose Consumer File Information; Failure to Conduct Proper Reinvestigations; Failure to Provide Written Notice of Reinvestigation Results; Failure to Comply with Public Record Information Requirements,"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45(a); Section 13(b) of the Federal Trade Commission Act, 15 U.S.C. § 53(b); Section 16(a) of the Federal Trade Commission Act, 15 U.S.C. § 56(a); Section 621(a) of the Fair Credit Reporting Act, 15 U.S.C. § 1681s(a)",,https://www.ftc.gov/legal-library/browse/cases-proceedings/102-313-hireright-solutions-inc,"08.12, HireRight Solutions.json",8,33,,"HireRight systematically failed to ensure accuracy of background screening reports, denied consumers access to their own files, and refused to properly reinvestigate disputes.",FCRA,Financial Practices,Financial Services,Monetary Penalty; Prohibition; Order Administration; Compliance Monitoring; Recordkeeping,"{""FCRA"": 8}"
09.12_myspace,C-4369,MYSPACE LLC,2012-09-15,2012,Obama,Privacy / Deceptive Privacy Practices,deceptive,Unauthorized Sharing of PII; False Claims About Ad Customization Privacy; False Anonymization Claims; Safe Harbor Compliance Misrepresentation,"Section 5 of the Federal Trade Commission Act, 15 U.S.C. § 45 et seq.","Jon Leibowitz, Chairman; J. Thomas Rosch; Edith Ramirez; Julie Brill; Maureen K. Ohlhausen",https://www.ftc.gov/legal-library/browse/cases-proceedings/102-3058-myspace-llc-matter,"09.12, Myspace.json",8,27,20.0,"Myspace transmitted users' personal identifiers to third-party advertisers without disclosure, enabling advertisers to link users' real identities to their browsing behavior.",Section 5 Only,Privacy,Social Media; Technology,Prohibition; Comprehensive Security Program; Third-Party Assessment; Recordkeeping; Order Administration; Compliance Monitoring,"{""Section 5 Only"": 8}"
10.12_artist_arena_llc_united_states_of_america,12 Civ. 07386,Artist Arena LLC,2012-10-15,2012,Obama,COPPA / Children's Privacy; Privacy / Deceptive Privacy Practices,deceptive,COPPA Rule Violations; Deceptive Representations About Parental Consent,"Sections 1303(c) and 1306(d) of the Children's Online Privacy Protection Act of 1998, 15 U.S.C. §§ 6501-6506, 6502(c) and 6505(d), and Sections 5(a)(1), 5(m)(1)(A), 13(b), and 16(a) of the Federal Trade Commission Act, 15 U.S.C. §§ 41-58, 45(a)(1), 45(m)(1)(A), 53(b), and 56(a)",,https://www.ftc.gov/legal-library/browse/cases-proceedings/112-3167-artist-arena-llc-united-states-america-federal-trade-commission,"10.12, Artist Arena LLC, United States of America.json",9,23,,"Artist Arena collected personal data from over 101,000 children under 13 for celebrity fan clubs without proper parental notice or consent.",COPPA,Privacy,Technology,Prohibition; Data Deletion; Consumer Redress; Monetary Penalty; Order Administration; Compliance Monitoring; Recordkeeping,"{""COPPA"": 9}"
10.12_direct_lending_source,3:12-cv-02441-DMS-BLM,"Direct Lending Source, Inc.",2012-10-15,2012,Obama,Fair Credit Reporting (FCRA),both,Obtaining Consumer Reports Without Permissible Purpose; Failure to Identify End-User of Consumer Reports; Failure to Establish Reasonable Procedures for Resale; Failure to Maintain Required Criteria Documentation; Unfair Practices - Failure to Control Access to Sensitive Consumer Information,"Section 5(a), Section 5(n), Section 13(b), and Section 16(a) of the Federal Trade Commission Act, 15 U.S.C. §§ 45(a), 45(n), 53(b), and 56(a); and sections 604(f), 607(e)(1), 607(e)(2), 615(d)(3), and 621 of the Fair Credit Reporting Act, 15 U.S.C. §§ 1681b(f), 1681e(e)(1), 1681e(e)(2), 1681m(d)(3), and 1681s",,https://www.ftc.gov/legal-library/browse/cases-proceedings/102-3000-direct-lending-source-inc-et-al,"10.12, Direct Lending Source.json",8,44,20.0,Direct Lending Source purchased and resold prescreened consumer credit lists to entities running fraudulent loan modification schemes without verifying permissible use.,FCRA,Financial Practices,Financial Services,Monetary Penalty; Prohibition; Order Administration; Compliance Monitoring; Recordkeeping,"{""FCRA"": 8}"
10.12_epn_also_dba_checknet,C-4370,"EPN, Inc., also d/b/a Checknet, Inc.",2012-10-15,2012,Obama,Data Security; Privacy / Deceptive Privacy Practices,unfair,Unfair Data Security Practices,"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45","Jon Leibowitz, Chairman; J. Thomas Rosch; Edith Ramirez; Julie Brill; Maureen K. Ohlhausen",https://www.ftc.gov/legal-library/browse/cases-proceedings/112-3143-epn-inc-also-dba-checknet-inc-matter,"10.12, EPN, also dba Checknet.json",8,27,20.0,"EPN, a debt collector, failed to implement reasonable data security, allowing a peer-to-peer app to expose sensitive consumer information on a public network.",Section 5 Only,Data Security,Financial Services,Prohibition; Comprehensive Security Program; Third-Party Assessment; Recordkeeping; Order Administration; Compliance Monitoring,"{""Section 5 Only"": 8}"
10.12_franklin_s_budget_car_sales_also_dba_franklin_toyotascion,C-4371,"Franklin's Budget Car Sales, Inc., also dba Franklin Toyota/Scion",2012-10-15,2012,Obama,Data Security; Privacy / Deceptive Privacy Practices; Gramm-Leach-Bliley,both,Deceptive Security Claims (FTC Act Violation); Safeguards Rule Violations; Privacy Rule Violations,"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45(a); Standards for Safeguarding Customer Information Rule, 16 C.F.R. Part 314; Privacy of Customer Financial Information Rule, 16 C.F.R. Part 313","Jon Leibowitz, Chairman; J. Thomas Rosch; Edith Ramirez; Julie Brill; Maureen K. Ohlhausen",https://www.ftc.gov/legal-library/browse/cases-proceedings/102-3094-franklins-budget-car-sales-inc-also-dba-franklin-toyotascion-matter,"10.12, Franklin's Budget Car Sales, also dba Franklin ToyotaScion.json",9,24,20.0,"Franklin Toyota claimed to maintain legally compliant security safeguards while allowing a P2P app to expose nearly 95,000 customers' sensitive personal information.",GLBA,Data Security,Retail,Prohibition; Comprehensive Security Program; Third-Party Assessment; Recordkeeping; Order Administration; Compliance Monitoring,"{""GLBA"": 9}"
11.12_pls_financial_services,1:12-cv-08334,"PLS Financial Services, Inc.",2012-11-15,2012,Obama,Data Security; Privacy / Deceptive Privacy Practices; Fair Credit Reporting (FCRA); Gramm-Leach-Bliley,both,Disposal Rule Violation; Safeguards Rule Violation; Deceptive Security Claims; Privacy Rule Violation,"Sections 5(a), 13(b), and 16(a) of the Federal Trade Commission Act, 15 U.S.C. §§ 45(a), 53(b), and 56(a); Section 621(a) of the Fair Credit Reporting Act, 15 U.S.C. § 1681s(a); Disposal Rule, 16 C.F.R. Part 682; Safeguards Rule, 16 C.F.R. Part 314; Privacy Rule, 16 C.F.R. Part 313",,https://www.ftc.gov/legal-library/browse/cases-proceedings/1023172-pls-financial-services-inc-et-al,"11.12, PLS Financial Services.json",14,36,20.0,PLS Financial Services represented it maintained legally compliant security safeguards but discarded consumer documents containing sensitive personal information in unsecured dumpsters.,FCRA; GLBA,Data Security; Financial Practices,Financial Services,Monetary Penalty; Prohibition; Comprehensive Security Program; Third-Party Assessment; Order Administration; Compliance Monitoring; Recordkeeping,"{""FCRA"": 12, ""GLBA"": 12}"
02.13_compete,C-4384,"Compete, Inc.",2013-02-15,2013,Obama,Data Security; Privacy / Deceptive Privacy Practices,deceptive,Failure to Disclose Extent of Data Collection; False Claims About Data Filtering; False Security Claims; Unfair Data Security Practices,"Section 5 of the Federal Trade Commission Act, 15 U.S.C. § 45 et seq.","Jon Leibowitz, Chairman; Edith Ramirez; Julie Brill; Maureen K. Ohlhausen; Joshua D. Wright",https://www.ftc.gov/legal-library/browse/cases-proceedings/102-3155-compete-inc,"02.13, Compete.json",12,34,20.0,Compete collected consumers' sensitive financial and personal information through tracking software while falsely claiming it only anonymously collected browsing data.,Section 5 Only,Privacy; Data Security,Technology,Prohibition; Consumer Notification; Order Administration; Comprehensive Security Program; Third-Party Assessment; Data Deletion; Recordkeeping; Compliance Monitoring,"{""Section 5 Only"": 12}"
02.13_path,C-3:13-cv-00448-RS,"Path, Inc.",2013-02-15,2013,Obama,COPPA / Children's Privacy; Privacy / Deceptive Privacy Practices,deceptive,Deceptive User Interface Representation; Deceptive Privacy Policy Statement; COPPA Rule Violations,"Sections 5(a)(1), 5(m)(1)(A), 13(b), and 16(a) of the Federal Trade Commission Act, 15 U.S.C. §§ 45(a)(1), 45(m)(1)(A), 53(b), and 56(a); Sections 1303(c) and 1306(d) of the Children's Online Privacy Protection Act of 1998, 15 U.S.C. §§ 6501-6506, 6502(c), and 6505(d)",,https://www.ftc.gov/legal-library/browse/cases-proceedings/122-3158-path-inc,"02.13, Path.json",10,36,20.0,Path's mobile app silently collected users' entire phone contact lists without consent and knowingly gathered personal data from thousands of children without parental approval.,COPPA,Privacy,Social Media; Technology,Prohibition; Data Deletion; Monetary Penalty; Third-Party Assessment; Order Administration; Compliance Monitoring; Recordkeeping,"{""COPPA"": 10}"
03.13_epic_marketplace,C-4389,"Epic Marketplace, Inc.",2013-03-15,2013,Obama,Privacy / Deceptive Privacy Practices,deceptive,Misrepresentation of Data Collection Scope; Failure to Disclose History Sniffing,"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45","Edith Ramirez, Chairman; Julie Brill; Maureen K. Ohlhausen; Joshua D. Wright",https://www.ftc.gov/legal-library/browse/cases-proceedings/112-3182-epic-marketplace-inc,"03.13, Epic Marketplace.json",8,16,20.0,Epic Marketplace secretly exploited browser history to track consumers' visits to sensitive websites — including medical and financial pages — without disclosing this practice in its privacy policy.,Section 5 Only,Privacy; Surveillance,Technology,Prohibition; Data Deletion; Recordkeeping; Order Administration; Compliance Monitoring,"{""Section 5 Only"": 8}"
03.13_equifax_information_services_ll,C-4387,Equifax Information Services LLC,2013-03-15,2013,Obama,Data Security; Fair Credit Reporting (FCRA),both,Furnishing Consumer Reports Without Permissible Purpose; Failure to Maintain Reasonable Procedures; Unfair Data Security Practices,"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45(a); Fair Credit Reporting Act, 15 U.S.C. §§ 1681 et seq.","Edith Ramirez, Chairman; Jon Leibowitz; Julie Brill; Maureen K. Ohlhausen; Joshua D. Wright",https://www.ftc.gov/legal-library/browse/cases-proceedings/172-3203-equifax-inc,"03.13, Equifax Information Services LL.json",7,19,20.0,"Equifax sold prescreened consumer credit lists to a company that resold them to third parties for general marketing, without maintaining adequate procedures to ensure permissible use.",FCRA,Financial Practices,Financial Services,Prohibition; Monetary Penalty; Recordkeeping; Order Administration; Compliance Monitoring,"{""FCRA"": 7}"
04.13_aspen_way_enterprises,C-4392,"Aspen Way Enterprises, Inc.",2013-04-15,2013,Obama,Privacy / Deceptive Privacy Practices; Health Data,both,Unfair Gathering of Consumers' Personal Information; Unfair Collection Practices; Deceptive Gathering of Consumers' Personal Information,"Section 5 of the Federal Trade Commission Act, 15 U.S.C. § 45(a)","Edith Ramirez, Chairwoman; Julie Brill; Maureen K. Ohlhausen; Joshua D. Wright",https://www.ftc.gov/legal-library/browse/cases-proceedings/112-3151-aspen-way-enterprises-inc-matter,"04.13, Aspen Way Enterprises.json",10,24,20.0,"Aspen Way Enterprises installed hidden monitoring software on rented computers to secretly capture consumers' sensitive personal information, including via webcam.",Section 5 Only,Surveillance,Retail,Prohibition; Data Deletion; Order Administration; Compliance Monitoring; Recordkeeping,"{""Section 5 Only"": 10}"
04.13_b._stamper_enterprises,C-4393,"B. Stamper Enterprises, Inc.",2013-04-15,2013,Obama,Privacy / Deceptive Privacy Practices; Health Data,both,Unfair Gathering of Consumers' Personal Information; Unfair Collection Practices; Deceptive Gathering of Consumers' Personal Information,"Section 5 of the Federal Trade Commission Act, 15 U.S.C. § 45(a)","Edith Ramirez, Chairwoman; Julie Brill; Maureen K. Ohlhausen; Joshua D. Wright",https://www.ftc.gov/legal-library/browse/cases-proceedings/112-3151-b-stamper-enterprises-inc-matter,"04.13, B. Stamper Enterprises.json",10,24,20.0,"B. Stamper Enterprises secretly monitored rented computer users via hidden software to capture passwords, medical records, and personal images.",Section 5 Only,Surveillance,Retail,Prohibition; Data Deletion; Order Administration; Compliance Monitoring; Recordkeeping,"{""Section 5 Only"": 10}"
04.13_c.a.l.m._ventures,C-4394,"C.A.L.M. Ventures, Inc.",2013-04-15,2013,Obama,Privacy / Deceptive Privacy Practices,both,Unfair Gathering of Consumers' Personal Information; Unfair Collection Practices; Deceptive Gathering of Consumers' Personal Information,"Section 5 of the Federal Trade Commission Act, 15 U.S.C. § 45(a)","Edith Ramirez, Chairwoman; Julie Brill; Maureen K. Ohlhausen; Joshua D. Wright",https://www.ftc.gov/legal-library/browse/cases-proceedings/112-3151-calm-ventures-inc-matter,"04.13, C.A.L.M. Ventures.json",10,24,20.0,"C.A.L.M. Ventures used hidden monitoring software on rented computers to secretly spy on consumers in their homes, including activating webcams without consent.",Section 5 Only,Surveillance,Retail,Prohibition; Data Deletion; Order Administration; Compliance Monitoring; Recordkeeping,"{""Section 5 Only"": 10}"
04.13_designerware,C-4390,"DesignerWare, LLC",2013-04-15,2013,Obama,Privacy / Deceptive Privacy Practices; Health Data,deceptive,Unfair Gathering and Disclosure of Consumers' Personal Information; Means and Instrumentalities to Engage in Unfairness; Deceptive Gathering and Disclosure of Consumers' Personal Information,"Federal Trade Commission Act, 15 U.S.C § 45 et seq.","Edith Ramirez, Chairwoman; Julie Brill; Maureen K. Ohlhausen; Joshua D. Wright",https://www.ftc.gov/legal-library/browse/cases-proceedings/112-3151-designerware-llc-matter,"04.13, DesignerWare.json",9,27,20.0,"DesignerWare developed and licensed stalkerware that secretly activated webcams, logged keystrokes, and tracked consumers' locations on rented computers.",Section 5 Only,Surveillance,Technology,Prohibition; Data Deletion; Order Administration; Compliance Monitoring; Recordkeeping,"{""Section 5 Only"": 9}"
04.13_j.a.g._rents_also_dba_colortyme,C-4395,"J.A.G. Rents, LLC",2013-04-15,2013,Obama,Privacy / Deceptive Privacy Practices; Health Data,both,Unfair Gathering of Consumers' Personal Information; Unfair Collection Practices; Deceptive Gathering of Consumers' Personal Information,"Section 5 of the Federal Trade Commission Act, 15 U.S.C. § 45(a)","Edith Ramirez, Chairwoman; Julie Brill; Maureen K. Ohlhausen; Joshua D. Wright",https://www.ftc.gov/legal-library/browse/cases-proceedings/112-3151-jag-rents-llc-also-dba-colortyme-matter,"04.13, J.A.G. Rents, also dba ColorTyme.json",10,23,20.0,"J.A.G. Rents secretly monitored rented computer users through hidden software, capturing sensitive personal information and tricking consumers with fake registration pop-ups.",Section 5 Only,Surveillance,Retail,Prohibition; Data Deletion; Order Administration; Compliance Monitoring; Recordkeeping,"{""Section 5 Only"": 10}"
04.13_red_zone_investment_group,C-4396,"Red Zone Investment Group, Inc.",2013-04-15,2013,Obama,Privacy / Deceptive Privacy Practices,both,Unfair Gathering of Consumers' Personal Information; Unfair Collection Practices; Deceptive Gathering of Consumers' Personal Information,"Section 5 of the Federal Trade Commission Act, 15 U.S.C. § 45(a)","Edith Ramirez, Chairwoman; Julie Brill; Maureen K. Ohlhausen; Joshua D. Wright",https://www.ftc.gov/legal-library/browse/cases-proceedings/112-3151-red-zone-investment-group-inc-matter,"04.13, Red Zone Investment Group.json",10,24,20.0,Red Zone Investment Group installed covert monitoring software on rented computers to secretly surveil users and collect personal information without their knowledge.,Section 5 Only,Surveillance,Retail,Prohibition; Data Deletion; Order Administration; Compliance Monitoring; Recordkeeping,"{""Section 5 Only"": 10}"
04.13_showplace,C-4397,"Showplace, Inc.",2013-04-15,2013,Obama,Privacy / Deceptive Privacy Practices; Health Data,both,Unfair Gathering of Consumers' Personal Information; Unfair Collection Practices; Deceptive Gathering of Consumers' Personal Information,"Section 5 of the Federal Trade Commission Act, 15 U.S.C. § 45(a)","Edith Ramirez, Chairwoman; Julie Brill; Maureen K. Ohlhausen; Joshua D. Wright",https://www.ftc.gov/legal-library/browse/cases-proceedings/112-3151-showplace-inc-matter,"04.13, Showplace.json",10,24,20.0,"Showplace secretly installed monitoring software on rented computers to capture consumers' webcam images, keystrokes, and personal data without their knowledge.",Section 5 Only,Surveillance,Retail,Prohibition; Data Deletion; Order Administration; Compliance Monitoring; Recordkeeping,"{""Section 5 Only"": 10}"
04.13_watershed_development,C-4398,Watershed Development Corp.,2013-04-15,2013,Obama,Privacy / Deceptive Privacy Practices,both,Unfair Gathering of Consumers' Personal Information; Unfair Collection Practices; Deceptive Gathering of Consumers' Personal Information,"Section 5 of the Federal Trade Commission Act, 15 U.S.C. § 45(a)","Edith Ramirez, Chairwoman; Julie Brill; Maureen K. Ohlhausen; Joshua D. Wright",https://www.ftc.gov/legal-library/browse/cases-proceedings/112-3151-watershed-development-corp-matter,"04.13, Watershed Development.json",10,24,20.0,"Watershed Development secretly monitored rented computer users through hidden keylogging, screenshot, and webcam software without their knowledge or consent.",Section 5 Only,Surveillance,Retail,Prohibition; Data Deletion; Order Administration; Compliance Monitoring; Recordkeeping,"{""Section 5 Only"": 10}"
